year,lobbyist_name,agency,agency_address
2019,JOHN BROERS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,ANGELA LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,CRAIG PRICE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,DANA SVENDSEN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,RICK MILLER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,AMY MANCUSO,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,JENNA HOWELL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,JANE SCHRANK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,SHAWNIE RECHTENBAUGH,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,PAUL MERRIMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,LORI JACOBSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,LEE AXDAHL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2019,MATT OXNER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,CRAIG PRICE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,RICK MILLER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,ROB WEINMEISTER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,JASON HUSBY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,JOHN BROERS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,DAN LUSK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,ANGIE LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,JENNA HOWELL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,AMY MANCUSO,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,JANE SCHRANK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,PAUL MERRIMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,CORA OLSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,LEE AXDAHL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,MATT OXNER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,LORI JACOBSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2020,AARON SCHEIBE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,CRAIG PRICE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,RICK MILLER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,ROB WEINMEISTER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,JASON HUSBY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,JOHN BROERS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,DAN LUSK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,ANGIE LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,AMY MANCUSO,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,JANE SCHRANK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,PAUL MERRIMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,CORA OLSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,MATT OXNER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,AARON SCHEIBE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,TYLER STEEN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2021,JON BIERNE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,CRAIG PRICE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,RICK MILLER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,JASON HUSBY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,JOHN BROERS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,DAN LUSK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,ANGIE LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,JANE SCHRANK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,PAUL MERRIMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,CORA OLSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,MATT OXNER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,TYLER STEEN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,JON BIERNE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,JAY ESPERANCE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,GRANT FLYNN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,PAUL BACHAND,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,JASON KETTERLING,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2022,JEANELLE YITAGESU,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,CRAIG PRICE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,RICK MILLER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,DAN LUSK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,ANGIE LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,JANE SCHRANK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,PAUL MERRIMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,CORA OLSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,TYLER STEEN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,JON BIERNE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,GRANT FLYNN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,PAUL BACHAND,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,JASON KETTERLING,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,JEANELLE YITAGESU,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,JOEL PETERSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,JAY WICKHAM,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,AMANDA KURTH,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2023,JON STAHL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,BOB PERRY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,DAN LUSK,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,ANGIE LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JOHN BROERS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JASON KETTERLING,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JOEL PETERSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JON STAHL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JON BIERNE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,PAUL MERRIMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JAY WICKHAM,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,PAUL NIEDRINGHAUS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,CORA OLSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,SCOTT RECHTENBAUGH,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,BRAD REINERS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,TYLER STEEN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,PAUL BACHAND,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JENNA SEVERYN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,JASON HUSBY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,ROB WEINMEISTER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2024,CASEY COLLINS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,ROBERT PERRY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,ANGELA LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,PAUL MERRIMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,JAY WICKHAM,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,TYLER STEEN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,JOHN BROERS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,COLONEL CASEY COLLINS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,MAJOR ROBERT WHISLER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,MAJOR JASON KETTERLING,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,CAPTAIN JON STAHL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,JON BIERNE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,ANETTE BEASLEY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,ROBERT WEINMEISTER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,JASON HUSBY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,PAUL NIEDRINGHAUS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,SCOTT RECHTENBAUGH,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,BRETT GARLAND,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,JEANNELLE YITAGESU,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2025,JENNA SEVERYN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,ROBERT PERRY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,KRISTI TURMAN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,ANGELA LEMIEUX,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,TINA TITZE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,DOUG HINKLE,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,JAY WICKHAM,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,TYLER STEEN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,JEANNELLE YITAGESU,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,SHERRI QUINTANA,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,BRIAN VOGES,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,COLONEL CASEY COLLINS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,MAJOR ROBERT WHISLER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,MAJOR AUSTIN SCHMITZ,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,SCOTT RECHTENBAUGH,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,ANETTE BEASLEY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,ROBERT WEINMEISTER,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,JASON HUSBY,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,PAUL NIEDRINGHAUS,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,JASON KETTERLING,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,CASSANDRA ROBERTSON,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,CODI GREGG,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,CAPTAIN JON STAHL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,CODY HONEYWELL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,JENNA SEVERYN,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2026,LT. MATT KOLL,DEPARTMENT OF PUBLIC SAFETY,"118 WEST CAPITOL AVENUE PIERRE, SD 57501"
2012,GERLACH ANDY,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,WIEST DAVID,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,CHRISTENSEN BRUCE,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,PAGE JANE,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,TALLEY JAN,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,ELIASON LARRY,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,FERGEL ANDY,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,LINGLE NORM,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,HILLMER DEB,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,MILLER SHERRI,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,HOUDYSHELL MICHAEL,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,EVANS JASON,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,SKINNER COLLEEN,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,THOMPSON KELLY,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,PECK NANCY,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,GLODT BONNIE,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,WEISCHEDEL MONICA,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,MILLER SHERRI,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,GOURNEAU ALANA,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2012,JARES ALISON,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,SECRETARY ANDY GERLACH,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,DAVID WIEST,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,BRUCE CHRISTENSEN,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,DOUG SCHINKEL,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,JANE PAGE,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,CARRIE TSCHETTER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,LARRY ELIASON,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,NORM LINGLE,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,CLARK HEPPER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,DEB HILLMER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,MICHAEL HOUDYSHELL,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,JASON EVANS,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,COLLEEN SKINNER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,ANDY FERGEL,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,CRAIG SPARROW,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,KELLY THOMPSON,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,NANCY PECK,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,SHERRI MILLER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,ROSA YAEGER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,JOHN RICHTER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2013,ALISON JARES,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,ANDY GERLACH,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,DAVID WIEST,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,MICHAEL HOUDYSHELL,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,JASON EVANS,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,MIKE MEHLHAFF JR,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,ANDY FERGEL,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,ROSA YAEGER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,BRUCE CHRISTENSEN,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,RACHEL HEARN,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,DOUG SCHINKEL,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,ALISON JARES,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,DEBRA HILLMER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,PEGGY LAURENZ,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,NORM LINGLE,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,CLARK HEPPER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,KELLY THOMPSON,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,LARRY ELIASON,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,CRAIG SPARROW,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,COLLEEN SKINNER,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,JOHN HANSON,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
2014,MIKE SHAW,DEPARTMENT OF REVENUE,"445 EAST CAPITOL AVENUE PIERRE, SD 57501"
